Province,Date,Weather Code,Max Temp (°C),Min Temp (°C),Max Apparent Temp (°C),Min Apparent Temp (°C),Sunrise,Sunset,Daylight Duration (s),Sunshine Duration (s),UV Index Max,UV Index Clear Sky Max,Precipitation (mm),Rain (mm),Showers (mm),Snowfall (mm),Precipitation Hours,Precipitation Probability Max (%),Max Wind Speed (m/s),Max Wind Gusts (m/s),Dominant Wind Direction (°),Shortwave Radiation Sum (MJ/m²),Reference Evapotranspiration (mm)
An Giang,2021-02-11,61,29.5,23.5,33.9,28.1,2021-02-11T06:20,2021-02-11T18:06,42352.83,31070.3,,,8.6,8.6,0.0,0.0,20.0,,9.2,28.4,142,15.49,3.16
An Giang,2021-02-12,51,29.6,21.3,34.7,24.8,2021-02-12T06:20,2021-02-12T18:06,42383.66,38725.15,,,0.8,0.8,0.0,0.0,5.0,,10.0,22.0,150,19.8,4.06
An Giang,2021-02-13,51,29.5,21.1,33.5,24.3,2021-02-13T06:19,2021-02-13T18:06,42414.65,38942.77,,,0.4,0.4,0.0,0.0,4.0,,11.7,23.8,143,19.03,4.01
An Giang,2021-02-14,3,30.2,21.1,33.9,24.1,2021-02-14T06:19,2021-02-14T18:06,42445.77,38784.2,,,0.0,0.0,0.0,0.0,0.0,,15.4,30.2,133,20.79,4.55
An Giang,2021-02-15,3,30.1,19.5,33.8,22.3,2021-02-15T06:19,2021-02-15T18:07,42477.0,39057.37,,,0.0,0.0,0.0,0.0,0.0,,12.5,27.0,133,21.51,4.65
An Giang,2021-02-16,3,29.1,19.7,32.1,22.4,2021-02-16T06:18,2021-02-16T18:07,42508.29,37606.4,,,0.0,0.0,0.0,0.0,0.0,,18.3,32.8,135,16.74,3.74
An Giang,2021-02-17,3,30.5,19.8,33.5,22.3,2021-02-17T06:18,2021-02-17T18:07,42539.64,39172.4,,,0.0,0.0,0.0,0.0,0.0,,15.6,32.8,122,19.77,4.53
An Giang,2021-02-18,3,29.5,19.4,32.1,21.5,2021-02-18T06:18,2021-02-18T18:07,42571.29,39364.81,,,0.0,0.0,0.0,0.0,0.0,,11.5,23.4,90,21.85,4.61
An Giang,2021-02-19,3,29.9,20.3,34.0,21.1,2021-02-19T06:17,2021-02-19T18:07,42603.32,39378.4,,,0.0,0.0,0.0,0.0,0.0,,15.8,29.9,65,23.14,4.99
An Giang,2021-02-20,3,30.1,20.5,33.0,23.3,2021-02-20T06:17,2021-02-20T18:08,42635.71,39391.13,,,0.0,0.0,0.0,0.0,0.0,,14.6,25.9,104,21.45,4.63
An Giang,2021-02-21,3,30.4,19.1,34.3,21.1,2021-02-21T06:17,2021-02-21T18:08,42668.43,39402.98,,,0.0,0.0,0.0,0.0,0.0,,9.6,23.4,125,22.18,4.75
An Giang,2021-02-22,3,30.9,18.4,35.4,20.0,2021-02-22T06:16,2021-02-22T18:08,42701.45,39507.93,,,0.0,0.0,0.0,0.0,0.0,,15.8,32.4,145,23.61,5.09
An Giang,2021-02-23,3,31.1,20.2,34.8,23.1,2021-02-23T06:16,2021-02-23T18:08,42734.75,39044.25,,,0.0,0.0,0.0,0.0,0.0,,13.6,25.6,142,22.92,4.95
An Giang,2021-02-24,3,31.1,21.9,34.2,24.5,2021-02-24T06:15,2021-02-24T18:08,42768.29,39337.48,,,0.0,0.0,0.0,0.0,0.0,,15.0,27.4,161,18.5,4.24
An Giang,2021-02-25,51,31.4,22.8,36.5,25.7,2021-02-25T06:15,2021-02-25T18:08,42802.04,31668.19,,,0.6,0.6,0.0,0.0,4.0,,13.9,26.6,197,15.68,3.67
An Giang,2021-02-26,51,32.4,23.6,37.9,28.0,2021-02-26T06:15,2021-02-26T18:08,42835.99,39155.13,,,0.5,0.5,0.0,0.0,5.0,,14.0,32.0,200,19.01,4.43
An Giang,2021-02-27,1,33.1,23.5,37.2,28.2,2021-02-27T06:14,2021-02-27T18:09,42870.09,39754.93,,,0.0,0.0,0.0,0.0,0.0,,12.0,24.5,184,20.85,4.87
An Giang,2021-02-28,51,32.4,22.9,36.0,26.5,2021-02-28T06:14,2021-02-28T18:09,42904.32,39664.08,,,0.4,0.4,0.0,0.0,3.0,,15.1,36.4,126,20.01,4.76
An Giang,2021-03-01,53,33.2,24.4,38.1,28.9,2021-03-01T06:13,2021-03-01T18:09,42938.67,38922.12,,,0.7,0.7,0.0,0.0,1.0,,15.7,34.9,130,18.84,4.44
An Giang,2021-03-02,51,33.7,23.9,38.8,28.6,2021-03-02T06:13,2021-03-02T18:09,42973.09,38960.44,,,0.4,0.4,0.0,0.0,2.0,,14.8,34.2,121,21.32,5.05
An Giang,2021-03-03,3,33.8,23.8,36.5,27.5,2021-03-03T06:12,2021-03-03T18:09,43007.55,39685.48,,,0.0,0.0,0.0,0.0,0.0,,18.6,37.1,128,22.76,5.96
An Giang,2021-03-04,1,34.2,23.4,36.8,26.4,2021-03-04T06:12,2021-03-04T18:09,43042.05,40110.66,,,0.0,0.0,0.0,0.0,0.0,,18.0,39.6,113,23.52,6.26
An Giang,2021-03-05,0,34.4,22.2,36.8,25.6,2021-03-05T06:11,2021-03-05T18:09,43076.54,40332.03,,,0.0,0.0,0.0,0.0,0.0,,16.9,33.5,124,25.02,6.32
An Giang,2021-03-06,3,34.2,21.7,37.5,24.9,2021-03-06T06:11,2021-03-06T18:09,43111.01,40236.19,,,0.0,0.0,0.0,0.0,0.0,,13.1,30.6,115,25.01,5.95
An Giang,2021-03-07,3,33.8,22.7,37.7,26.6,2021-03-07T06:10,2021-03-07T18:09,43145.42,39597.7,,,0.0,0.0,0.0,0.0,0.0,,15.5,31.0,126,21.58,5.59
An Giang,2021-03-08,3,33.7,22.6,35.2,26.4,2021-03-08T06:10,2021-03-08T18:09,43179.75,39818.58,,,0.0,0.0,0.0,0.0,0.0,,19.2,40.7,112,21.68,5.53
An Giang,2021-03-09,51,33.0,22.6,36.2,26.1,2021-03-09T06:09,2021-03-09T18:09,43213.98,40153.08,,,0.3,0.3,0.0,0.0,3.0,,16.5,32.8,118,22.04,5.4
An Giang,2021-03-10,3,33.4,22.5,36.1,26.0,2021-03-10T06:09,2021-03-10T18:09,43248.35,40270.71,,,0.0,0.0,0.0,0.0,0.0,,15.0,30.2,113,23.19,5.72
An Giang,2021-03-11,51,33.7,23.3,37.4,27.2,2021-03-11T06:08,2021-03-11T18:09,43282.93,39941.33,,,0.1,0.1,0.0,0.0,1.0,,18.7,34.2,113,21.33,5.4
An Giang,2021-03-12,1,33.9,23.7,37.8,27.5,2021-03-12T06:07,2021-03-12T18:09,43317.71,40396.57,,,0.0,0.0,0.0,0.0,0.0,,17.2,35.6,110,23.23,5.84
An Giang,2021-03-13,51,33.7,23.1,37.1,26.0,2021-03-13T06:07,2021-03-13T18:09,43352.66,40745.13,,,0.1,0.1,0.0,0.0,1.0,,17.3,31.3,129,21.99,5.48
An Giang,2021-03-14,3,33.6,22.4,37.9,25.5,2021-03-14T06:06,2021-03-14T18:09,43387.76,40868.83,,,0.0,0.0,0.0,0.0,0.0,,11.4,24.8,162,22.91,5.36
An Giang,2021-03-15,2,32.9,22.0,36.7,25.7,2021-03-15T06:06,2021-03-15T18:09,43422.99,40529.33,,,0.0,0.0,0.0,0.0,0.0,,14.8,32.0,143,21.58,5.28
An Giang,2021-03-16,3,33.7,22.7,37.8,26.6,2021-03-16T06:05,2021-03-16T18:09,43458.32,40651.68,,,0.0,0.0,0.0,0.0,0.0,,14.6,27.4,136,24.1,5.83
An Giang,2021-03-17,3,33.6,23.0,37.2,26.7,2021-03-17T06:05,2021-03-17T18:09,43493.73,40657.27,,,0.0,0.0,0.0,0.0,0.0,,11.8,26.3,133,22.18,5.39
An Giang,2021-03-18,3,32.2,22.3,35.2,25.7,2021-03-18T06:04,2021-03-18T18:09,43529.19,34908.76,,,0.0,0.0,0.0,0.0,0.0,,14.6,26.3,136,15.98,4.09
An Giang,2021-03-19,3,35.0,23.2,40.2,27.4,2021-03-19T06:03,2021-03-19T18:09,43564.68,39862.57,,,0.0,0.0,0.0,0.0,0.0,,15.1,29.2,159,23.0,5.6
An Giang,2021-03-20,51,34.6,24.6,39.6,29.4,2021-03-20T06:03,2021-03-20T18:09,43600.18,40549.52,,,0.9,0.9,0.0,0.0,7.0,,11.2,25.9,145,21.01,5.09
An Giang,2021-03-21,53,35.3,24.9,40.7,29.3,2021-03-21T06:02,2021-03-21T18:09,43635.66,39819.52,,,2.3,2.3,0.0,0.0,7.0,,11.0,27.0,123,23.06,5.42
An Giang,2021-03-22,53,34.8,24.6,39.1,28.6,2021-03-22T06:02,2021-03-22T18:09,43671.11,39323.81,,,1.5,1.5,0.0,0.0,5.0,,14.1,30.2,94,21.69,5.34
An Giang,2021-03-23,51,35.5,25.5,40.2,27.8,2021-03-23T06:01,2021-03-23T18:09,43706.48,41121.01,,,0.4,0.4,0.0,0.0,3.0,,12.8,30.2,55,23.63,5.91
An Giang,2021-03-24,53,35.3,25.0,39.0,30.4,2021-03-24T06:00,2021-03-24T18:09,43741.77,39558.44,,,1.2,1.2,0.0,0.0,3.0,,17.9,42.8,108,20.54,5.36
An Giang,2021-03-25,51,33.9,25.5,38.3,29.6,2021-03-25T06:00,2021-03-25T18:09,43776.94,38576.1,,,1.9,1.9,0.0,0.0,10.0,,17.9,36.7,111,18.68,4.94
An Giang,2021-03-26,51,34.8,25.0,37.5,28.5,2021-03-26T05:59,2021-03-26T18:09,43811.97,41362.04,,,0.1,0.1,0.0,0.0,1.0,,18.4,43.2,116,21.94,6.09
An Giang,2021-03-27,3,35.2,24.7,38.9,29.2,2021-03-27T05:59,2021-03-27T18:09,43846.84,41396.39,,,0.0,0.0,0.0,0.0,0.0,,17.7,40.7,124,21.78,5.91
An Giang,2021-03-28,51,34.9,26.0,39.3,30.3,2021-03-28T05:58,2021-03-28T18:09,43881.53,40048.8,,,0.2,0.2,0.0,0.0,2.0,,13.6,30.2,133,21.28,5.33
An Giang,2021-03-29,2,35.2,24.0,40.2,29.1,2021-03-29T05:57,2021-03-29T18:09,43916.01,41464.18,,,0.0,0.0,0.0,0.0,0.0,,13.0,27.0,164,23.73,5.65
An Giang,2021-03-30,51,34.5,24.5,39.5,29.2,2021-03-30T05:57,2021-03-30T18:09,43950.5,41497.57,,,0.9,0.9,0.0,0.0,6.0,,15.0,31.3,206,21.09,5.25
An Giang,2021-03-31,3,36.1,24.8,40.1,29.4,2021-03-31T05:56,2021-03-31T18:09,43985.08,41530.95,,,0.0,0.0,0.0,0.0,0.0,,15.0,31.7,203,23.39,6.0
An Giang,2021-04-01,51,35.9,25.2,40.3,30.2,2021-04-01T05:56,2021-04-01T18:09,44019.73,41564.3,,,0.1,0.1,0.0,0.0,1.0,,17.7,32.4,200,22.5,5.72
